index,node,cnt
581,1087611,3
582,513458,3
583,108333,3
584,1116658,3
585,104300,3
586,108845,3
587,110589,3
588,112660,3
589,106546,3
590,109387,3
591,109717,3
592,109628,3
593,2382125,3
594,112680,3
595,105221,3
596,106335,3
597,386074,3
598,2499246,3
599,1663836,3
600,106300,3
601,105244,3
602,112786,3
603,104532,3
604,109815,3
605,112825,3
606,1522092,3
607,112704,3
608,366972,3
609,110413,3
610,117892,3
611,1669293,3
612,106452,3
613,106086,3
614,104779,3
615,112868,3
616,145918,3
617,112866,3
618,1201720,3
619,110354,3
620,96819,3
621,109653,3
622,110373,3
623,1471238,3
624,104769,3
625,106334,3
626,109701,3
627,106447,3
628,106822,3
629,112777,3
630,104790,3
631,367165,3
632,1815299,3
633,1753039,3
634,110323,3
635,106514,3
636,110254,3
637,109825,3
638,2394389,3
639,2372597,3
640,103959,3
641,110221,3
642,104932,3
643,93425,3
644,142875,3
645,246242,3
646,105024,3
647,110715,3
648,110067,3
649,109199,3
650,93234,3
651,109891,3
652,1638328,3
653,109751,3
654,109097,3
655,109761,3
656,106284,3
657,109254,3
658,109685,3
659,105152,3
660,784554,3
661,2385882,3
662,106259,3
663,110553,3
664,106142,3
665,106107,3
666,94648,3
667,1237936,3
668,1067256,3
669,1360803,3
670,106087,3
671,110478,3
672,2435512,3
673,2430249,3
674,2428092,3
675,1510442,3
676,1752204,3
677,109626,3
678,1682240,3
679,110339,3
680,2363163,3
681,106880,3
682,112911,3
683,106658,3
684,112566,3
685,104250,3
686,106962,3
687,2417455,3
688,110484,3
689,105342,3
690,110561,3
691,105329,3
692,1520677,3
693,109574,3
694,105425,3
695,109647,3
696,1796983,3
697,112584,3
698,104605,3
699,726705,3
700,110045,3
701,109661,3
702,112608,3
703,110518,3
704,110529,3
705,104677,3
706,106739,3
707,110223,3
708,105254,3
709,106777,3
710,106864,3
711,104700,3
712,1509703,3
713,1135929,3
714,104471,3
715,117869,3
716,106507,3
717,2427974,3
718,104695,3
719,88468,3
720,110022,3
721,104649,3
722,104287,3
723,109703,3
724,106987,3
725,105188,3
726,110587,3
727,105222,3
728,105132,3
729,109721,3
730,108433,3
731,110056,3
732,1669097,3
733,106576,3
734,1669089,3
735,112640,3
736,106945,3
737,1868703,3
738,1377577,3
739,1746247,3
740,110488,3
741,1528314,3
742,111353,2
743,2629208,2
744,111288,2
745,111123,2
746,111051,2
747,102784,2
748,130160,2
749,110213,2
